lob_id,gvkey,bvdid,naics,client_name
000065ee-5384-579e-b167-c3f782cd0d55,,,,KALYPSO
00031e5d-fb07-526f-be41-0b627892e042,,,,PIGEONLY
00046722-0148-5d5d-b6a1-770fdf604147,,,,CITY OF OCEAN CITY NEW JERSEY
0005ff7f-6811-532a-bca3-95557fba29a8,,,,"SHELTERS INTERNATIONAL, LLC."
0007264e-791e-5727-97dd-4c88f2ad9807,,,,POLICY INSTITUTE FOR RELIGION AND STATE
000911bc-a999-5e07-af9c-30dd4ab118d7,,,,AMERICAN BIOGAS COUNCIL
00094d9a-15d6-540e-9c41-15f94e63e1a2,,,,SRI LANKA APPAREL EXPORTERS ASSN
0009b134-7190-564a-b9fe-b81bf72c53c4,,,,AIR SECURITY INTL
0011a215-3e99-5c53-a0fe-3414fc86b426,001408,US133295276,312140,BEAM INC
00125065-500b-539f-a15f-19e62ced39e4,,,,INFORMATION TECHNOLOGY ASSN OF AMERICA (ITAA)
0012b067-5fd2-5e4d-8774-d022e07385c9,,,,BAJAGUA
001302d5-d4ba-536b-8709-760ff939d8fd,,,,CARLTON LYNCH LTD.
001420d1-c590-510e-9edd-cd86fa2b141c,,,,ISLAND INSTITUTE
0017d41e-8820-5704-b5b4-57bef7150e2e,,,,FRITO-LAY INC
00181fb1-3a74-5ac1-a103-c3eaada37bf9,,,,ELECTRICITIES OF NC
00185c19-f8cc-5b70-ac5f-e9537def17ac,,,,S&K TECHNOLOGIES
001a7294-4a0f-5e5d-9425-6171176630d4,,,,MONTGOMERY WARD
001b114b-fbf9-5120-a11d-836d9f993bc4,,,,AMERICAN COALITION FOR CLEAN COAL ELECTRICITY
001c5248-d9bb-5fc2-a861-e2989486e3a9,,,,"RESERVOIR LABS, INC."
001d5945-a3bf-5ead-adb4-c602f8d115d5,,,,CANADIAN STANDARDS ASSOCIATION
001eaeda-f720-50d8-897b-cf25fb2be168,,,,SAVE OUR STANDARDS
001ebfd1-b700-5e92-be76-c0172eca9917,,,,LOWER BUCKS HOSPITAL
001fe29d-a754-51c3-b966-c3c7c01a2eee,,,,MORPHOTRUST USA
002273c8-7062-5c50-81ba-2706c37759cb,,,,NORSELAND INC
00248509-dfce-55e1-8059-c886bb15de9f,,,,"INFOCYTE, INC."
0024a1fa-7df0-55f7-b098-554848c6bb82,,,,SONDHI SOLUTIONS
0024b482-6e0c-566e-be71-667ef0d1a9c8,,,,PETROLEOS MEXICANOS
00276e4d-64f8-530a-a0af-1a90bdc27163,,,,"XENOPHON STRATEGIES, INC. ON BEHALF OF REPUBLIC PROPERTIES"
0029a743-03eb-5983-af0d-4bb1e7962c47,,,,BELKIN INTERNATIONAL INC.
002a7a03-2e20-54c8-a5c6-b541cd538225,,,,TMC TECHNOLOGIES
002aa91e-6007-5b26-bd37-6b44fe9c481f,,,,FIRST CARE HEALTH PLANS
002bb9f2-63df-597c-bc66-4648f8675670,,,,FORT BELKNAP INDIAN COMMUNITY AND ISLAND MOUNTAIN DEVELOPMENT GROUP
002c7e90-47d5-582e-be1f-eb31ae3d86f4,,,,SPIEGEL MCDIARMID ON BEHALF OF METROPOLITAN AIRPORTS COMMISSION
002d8820-553e-5a8b-9bc0-bac9dcbece2d,,,,MAXIMUS COFFEE GROUP
0031cdce-2fa4-52fb-98fa-a4041a93755e,,,,ASKESIS DEVELOPMENT GROUP INC
003212e9-b42b-57cc-9330-83ad38b6e56c,220546,,324110,EQUINOR US OPERATIONS LLC
