cik,name,year,Assets,NetIncomeLoss,Revenues,gvkey,lobbying_spend
2969,AIR PRODUCTS & CHEMICALS INC /DE/,2010,13029100000.0,252000000.0,2195300000.0,,
2969,AIR PRODUCTS & CHEMICALS INC /DE/,2011,5824700000.0,631300000.0,9026000000.0,,
2969,AIR PRODUCTS & CHEMICALS INC /DE/,2012,4581800000.0,268600000.0,2291500000.0,,
2969,AIR PRODUCTS & CHEMICALS INC /DE/,2013,7411900000.0,296000000.0,2321500000.0,,
2969,AIR PRODUCTS & CHEMICALS INC /DE/,2014,399900000.0,104000000.0,3288900000.0,,
2969,AIR PRODUCTS & CHEMICALS INC /DE/,2015,17438100000.0,290000000.0,2634600000.0,,
2969,AIR PRODUCTS & CHEMICALS INC /DE/,2016,4232700000.0,324600000.0,232400000.0,,
2969,AIR PRODUCTS & CHEMICALS INC /DE/,2017,279600000.0,-2700000.0,721400000.0,,
2969,AIR PRODUCTS & CHEMICALS INC /DE/,2018,5904000000.0,299800000.0,236000000.0,,
2969,AIR PRODUCTS & CHEMICALS INC /DE/,2019,325700000.0,473900000.0,0.0,,
2969,AIR PRODUCTS & CHEMICALS INC /DE/,2020,3250800000.0,57700000.0,2216300000.0,,
3545,ALICO INC,2011,180035000.0,-3649000.0,89528000.0,1266.0,
3545,ALICO INC,2011,180035000.0,-3649000.0,89528000.0,1266.0,
3545,ALICO INC,2012,6241000.0,,,1266.0,
3545,ALICO INC,2012,6241000.0,,,1266.0,
3545,ALICO INC,2013,55768000.0,18489000.0,29344000.0,1266.0,
3545,ALICO INC,2013,55768000.0,18489000.0,29344000.0,1266.0,
3545,ALICO INC,2014,26356000.0,1038000.0,21356000.0,1266.0,
3545,ALICO INC,2014,26356000.0,1038000.0,21356000.0,1266.0,
3545,ALICO INC,2015,13920000.0,4009000.0,14989000.0,1266.0,
3545,ALICO INC,2015,13920000.0,4009000.0,14989000.0,1266.0,
3545,ALICO INC,2016,460088000.0,1445000.0,1585000.0,1266.0,
3545,ALICO INC,2016,460088000.0,1445000.0,1585000.0,1266.0,
3545,ALICO INC,2017,13845000.0,13423000.0,1585000.0,1266.0,
3545,ALICO INC,2017,13845000.0,13423000.0,1585000.0,1266.0,
3545,ALICO INC,2018,423422000.0,8746000.0,144196000.0,1266.0,
3545,ALICO INC,2018,423422000.0,8746000.0,144196000.0,1266.0,
3545,"ALICO, INC.",2019,1766000.0,9100000.0,6388000.0,1266.0,
3545,"ALICO, INC.",2019,1766000.0,9100000.0,6388000.0,1266.0,
3545,"ALICO, INC.",2020,401212000.0,23662000.0,3220000.0,1266.0,
3545,"ALICO, INC.",2020,401212000.0,23662000.0,3220000.0,1266.0,
4127,SKYWORKS SOLUTIONS INC,2010,1352591000.0,111006000.0,1071849000.0,1327.0,
4127,SKYWORKS SOLUTIONS INC,2011,1564052000.0,137294000.0,36724000.0,1327.0,
4127,SKYWORKS SOLUTIONS INC,2012,2136646000.0,137294000.0,144758000.0,1327.0,
4127,SKYWORKS SOLUTIONS INC,2013,2333100000.0,226600000.0,1671700000.0,1327.0,
4127,SKYWORKS SOLUTIONS INC,2014,2333100000.0,111400000.0,481000000.0,1327.0,
4127,SKYWORKS SOLUTIONS INC,2015,2973800000.0,174900000.0,810000000.0,1327.0,
4127,SKYWORKS SOLUTIONS INC,2016,3855400000.0,355300000.0,107400000.0,1327.0,
4127,SKYWORKS SOLUTIONS INC,2017,4573600000.0,185000000.0,252200000.0,1327.0,
4127,SKYWORKS SOLUTIONS INC,2018,4573600000.0,995200000.0,1455000000.0,1327.0,
4127,SKYWORKS SOLUTIONS INC,2019,4839600000.0,286500000.0,271100000.0,1327.0,
4127,SKYWORKS SOLUTIONS INC,2020,5106700000.0,257100000.0,1860400000.0,1327.0,
4828,AMERICAN CRYSTAL SUGAR CO /MN/,2012,899480000.0,526112000.0,1518977000.0,,
5117,EMTEC INC/NJ,2012,67710000.0,-12423000.0,224573000.0,,
5656,AMERICAN INTERNATIONAL VENTURES INC /DE/,2013,1889929.0,-5643398.0,0.0,162897.0,
5656,AMERICAN INTERNATIONAL VENTURES INC /DE/,2014,1889929.0,-5889795.0,,162897.0,
6281,ANALOG DEVICES INC,2010,4328831000.0,,559006000.0,12216.0,
6281,ANALOG DEVICES INC,2011,5277635000.0,247772000.0,217501000.0,12216.0,
6281,ANALOG DEVICES INC,2012,5620347000.0,867394000.0,675094000.0,12216.0,
6281,ANALOG DEVICES INC,2013,6381750000.0,867394000.0,172920000.0,12216.0,
6281,ANALOG DEVICES INC,2014,6381750000.0,673487000.0,622134000.0,12216.0,
6281,ANALOG DEVICES INC,2015,6859690000.0,629320000.0,327223000.0,12216.0,
6281,ANALOG DEVICES INC,2016,7970278000.0,696878000.0,242460000.0,12216.0,
6281,ANALOG DEVICES INC,2017,21141294000.0,696878000.0,511365000.0,12216.0,
6281,ANALOG DEVICES INC,2018,20449779000.0,4199000.0,3421409000.0,12216.0,
6281,ANALOG DEVICES INC,2019,20438366000.0,1506980000.0,2424514000.0,12216.0,
6281,ANALOG DEVICES INC,2020,21392641000.0,1363011000.0,2987542000.0,12216.0,
6284,ANALOGIC CORP,2012,343671000.0,5296000.0,151011000.0,1633.0,
6951,APPLIED MATERIALS INC /DE,2010,10943345000.0,960746000.0,8129240000.0,1704.0,
6951,APPLIED MATERIALS INC /DE,2011,419000000.0,476000000.0,768000000.0,1704.0,
6951,APPLIED MATERIALS INC /DE,2012,459000000.0,1926000000.0,2093000000.0,1704.0,
6951,APPLIED MATERIALS INC /DE,2013,513000000.0,289000000.0,863000000.0,1704.0,
6951,APPLIED MATERIALS INC /DE,2014,513000000.0,183000000.0,2023000000.0,1704.0,
6951,APPLIED MATERIALS INC /DE,2015,183000000.0,1377000000.0,9072000000.0,1704.0,
6951,APPLIED MATERIALS INC /DE,2016,14588000000.0,1072000000.0,848000000.0,1704.0,
6951,APPLIED MATERIALS INC /DE,2017,14570000000.0,1377000000.0,615000000.0,1704.0,
6951,APPLIED MATERIALS INC /DE,2018,19419000000.0,1721000000.0,2589000000.0,1704.0,
6951,APPLIED MATERIALS INC /DE,2019,19024000000.0,698000000.0,4087000000.0,1704.0,
6951,APPLIED MATERIALS INC /DE,2020,22353000000.0,2706000000.0,2504000000.0,1704.0,
6955,ACTUANT CORP,2011,2056681000.0,111559000.0,1117625000.0,,
6955,ACTUANT CORP,2012,667550000.0,41382000.0,392799000.0,,
6955,ACTUANT CORP,2013,1695433000.0,37174000.0,422620000.0,,
6955,ACTUANT CORP,2014,2266420000.0,28435000.0,422620000.0,,
6955,ACTUANT CORP,2015,-4630580000.0,-49000000.0,158836000.0,,
6955,ACTUANT CORP,2016,2201799000.0,-105174000.0,385476000.0,,
6955,ACTUANT CORP,2017,157429000.0,-17213000.0,143517000.0,,
6955,ACTUANT CORP,2018,1993998000.0,-105174000.0,19100000.0,,
6955,ACTUANT CORP,2019,230597000.0,107898000.0,9400000.0,,
6955,ENERPAC TOOL GROUP CORP,2020,54484000.0,-21648000.0,133386000.0,,
7032,ARAMARK CORP,2011,10221915000.0,-6911000.0,12419064000.0,186858.0,
7032,ARAMARK CORP,2012,1524800000.0,38676000.0,8654700000.0,186858.0,
7951,ROBERTSON GLOBAL HEALTH SOLUTIONS CORP,2011,777825.0,-1575052.0,350416.0,,
8411,ATWOOD OCEANICS INC,2010,1509402000.0,0.0,,,
8411,ATWOOD OCEANICS INC,2011,36145000.0,58994000.0,,,
8411,ATWOOD OCEANICS INC,2012,2943762000.0,272171000.0,,,
8411,ATWOOD OCEANICS INC,2013,3657266000.0,350224000.0,136206000.0,,
8411,ATWOOD OCEANICS INC,2014,3657266000.0,272171000.0,58454000.0,,
8411,ATWOOD OCEANICS INC,2015,4507228000.0,150694000.0,201190000.0,,
8411,ATWOOD OCEANICS INC,2016,4539792000.0,112992000.0,22843000.0,,
10048,BARNWELL INDUSTRIES INC,2011,88772000.0,,38460000.0,,
10048,BARNWELL INDUSTRIES INC,2012,54454000.0,,38460000.0,,
10048,BARNWELL INDUSTRIES INC,2013,40559000.0,,0.0,,
10048,BARNWELL INDUSTRIES INC,2014,7828000.0,,0.0,,
10048,BARNWELL INDUSTRIES INC,2015,8471000.0,1263000.0,0.0,,
10048,BARNWELL INDUSTRIES INC,2016,3132000.0,1263000.0,0.0,,
10048,BARNWELL INDUSTRIES INC,2017,31568000.0,-3615000.0,13627000.0,,
10048,BARNWELL INDUSTRIES INC,2018,33020000.0,-1770000.0,13030000.0,,
10048,BARNWELL INDUSTRIES INC,2019,1608000.0,-12579000.0,3769000.0,,
10048,BARNWELL INDUSTRIES INC,2020,1501000.0,-12414000.0,165000.0,,
10795,BECTON DICKINSON & CO,2010,7912943000.0,,7372333000.0,,
10795,BECTON DICKINSON & CO,2011,9304624000.0,,2386965000.0,,
10795,BECTON DICKINSON & CO,2012,1059774000.0,,2430939000.0,,
10795,BECTON DICKINSON & CO,2013,8357000000.0,,911000000.0,,
10795,BECTON DICKINSON & CO,2014,3247000000.0,,1294000000.0,,
10795,BECTON DICKINSON & CO,2015,8357000000.0,1293000000.0,2383000000.0,,
10795,BECTON DICKINSON & CO,2016,3848000000.0,0.0,5069000000.0,,
10795,BECTON DICKINSON & CO,2017,20055000000.0,0.0,2434000000.0,,
10795,BECTON DICKINSON & CO,2018,2784000000.0,562000000.0,3035000000.0,,
10795,BECTON DICKINSON & CO,2019,51765000000.0,-135000000.0,485000000.0,,
10795,BECTON DICKINSON & CO,2020,51765000000.0,874000000.0,3762000000.0,,
12040,FLANIGANS ENTERPRISES INC,2012,4952000.0,509000.0,13141000.0,,
12040,FLANIGANS ENTERPRISES INC,2013,17674000.0,509000.0,19918000.0,,
12040,FLANIGANS ENTERPRISES INC,2014,17674000.0,538000.0,82798000.0,,
12040,FLANIGANS ENTERPRISES INC,2015,4393000.0,1124000.0,21475000.0,,
12040,FLANIGANS ENTERPRISES INC,2016,29478000.0,788000.0,25111000.0,,
12040,FLANIGANS ENTERPRISES INC,2017,33421000.0,1147000.0,87393000.0,,
12040,FLANIGANS ENTERPRISES INC,2018,67265000.0,1047000.0,26594000.0,,
12040,FLANIGANS ENTERPRISES INC,2019,31077000.0,616000.0,2585000.0,,
14846,BRT APARTMENTS CORP.,2017,874899000.0,5480000.0,1452000.0,,
14846,BRT APARTMENTS CORP.,2018,843898000.0,928000.0,25640000.0,,
14846,BRT REALTY TRUST,2011,191012000.0,,8135000.0,,
14846,BRT REALTY TRUST,2012,191012000.0,,4089000.0,,
14846,BRT REALTY TRUST,2013,113383000.0,,11153000.0,,
14846,BRT REALTY TRUST,2014,163246000.0,,31664000.0,,
14846,BRT REALTY TRUST,2015,312962000.0,,82497000.0,,
14846,BRT REALTY TRUST,2016,31075000.0,-2034000.0,24857000.0,,
16040,CABOT CORP,2010,2886000000.0,86000000.0,2893000000.0,2593.0,
16040,CABOT CORP,2011,3141000000.0,43000000.0,836000000.0,2593.0,
16040,CABOT CORP,2012,4399000000.0,154000000.0,186000000.0,2593.0,
16040,CABOT CORP,2013,688000000.0,153000000.0,914000000.0,2593.0,
16040,CABOT CORP,2014,1628000000.0,59000000.0,107000000.0,2593.0,
16040,CABOT CORP,2015,731000000.0,153000000.0,99000000.0,2593.0,
