cik,gvkey
3545,1266.0
3545,1266.0
4127,1327.0
5656,162897.0
6281,12216.0
6284,1633.0
6951,1704.0
7032,186858.0
16040,2593.0
21239,37895.0
21510,37895.0
22444,37895.0
23197,37895.0
24751,37895.0
25212,37895.0
26076,3639.0
29644,4036.0
32604,65317.0
33619,4460.0
38777,4885.0
43920,5338.0
43920,5338.0
46619,5567.0
48465,5709.0
50725,5987.0
53669,6268.0
57183,6547.0
58361,6639.0
67887,7549.0
67887,7549.0
68709,6900.0
69422,163610.0
70145,7733.0
72331,7921.0
73887,8092.0
74046,8105.0
100493,10793.0
100493,10793.0
102741,11096.0
103145,11124.0
104207,122355.0
203527,119216.0
310056,21238.0
310568,9715.0
320193,1690.0
350832,1533.0
353184,1210.0
353944,37895.0
356309,7849.0
357294,5750.0
711404,37895.0
711404,37895.0
718924,9916.0
722392,29435.0
723125,7343.0
731802,4383.0
744452,106126.0
748790,166740.0
758004,11910.0
767884,187285.0
771497,1410.0
775158,11721.0
788329,13906.0
794170,12395.0
794170,12395.0
799694,22629.0
801898,13003.0
804328,61737.0
808326,6223.0
808450,6081.0
809933,186720.0
814547,13824.0
825410,14169.0
825542,60800.0
827871,19784.0
829224,25434.0
830524,3203.0
831489,60800.0
831641,24783.0
833444,6268.0
833444,10787.0
833444,10787.0
836690,135844.0
849636,37895.0
857005,18699.0
859737,62336.0
863894,22817.0
865436,24893.0
866706,23224.0
868857,147988.0
868857,147988.0
875582,19209.0
883241,140679.0
886206,25331.0
890543,37895.0
890923,25918.0
892025,29278.0
896400,62107.0
896429,37895.0
897723,28139.0
898293,28195.0
900075,37895.0
909832,37895.0
912603,29217.0
912603,29217.0
913760,176521.0
914024,29353.0
923120,30463.0
924383,22373.0
924717,66588.0
928465,100243.0
929940,30870.0
932021,163935.0
936395,64356.0
943110,37895.0
1001115,65896.0
1001907,61766.0
1002517,61685.0
1003344,61576.0
1005101,37895.0
1005731,62396.0
1013237,63172.0
1020859,63927.0
1023844,179517.0
1024478,9203.0
1024478,9203.0
1030916,18624.0
1032220,106329.0
1032220,106329.0
1032975,102696.0
1041803,65343.0
1050007,66496.0
1057060,111103.0
1066026,37895.0
1069533,9171.0
1079023,119217.0
1084755,121493.0
1090872,160607.0
1090872,160607.0
1096752,133367.0
1110783,140760.0
1126956,39442.0
1137411,27997.0
1139463,143605.0
1177648,16269.0
1179484,37895.0
1235468,166213.0
1242513,37895.0
1260221,148349.0
1261654,156633.0
1301075,37895.0
1305014,5589.0
1312073,162733.0
1314727,33767.0
1319161,163118.0
1323974,163893.0
1334933,105570.0
1339947,147200.0
1344394,37895.0
1350420,163668.0
1350593,166482.0
1377789,176572.0
1378718,120444.0
1379006,160997.0
1385157,10277.0
1385157,10787.0
1385187,37895.0
1385508,177182.0
1387976,37895.0
1403161,179534.0
1408057,33549.0
1408287,178538.0
1409175,37895.0
1409175,260778.0
1409885,186720.0
1414382,37895.0
1416090,37895.0
1418780,37895.0
1420720,180683.0
1423221,179819.0
1429764,184049.0
1441693,18270.0
1444307,22629.0
1490873,186720.0
1493594,65904.0
1493594,65904.0
1494214,163610.0
1498122,150477.0
1501845,7882.0
1502377,37895.0
1509261,17651.0
1533615,60800.0
1536089,7085.0
1546640,14438.0
1555972,5559.0
1566561,37895.0
1567892,18350.0
1581280,34241.0
1582244,37895.0
1584509,186858.0
1589526,23167.0
1594337,37895.0
1601046,20232.0
1604643,32610.0
1645590,26156.0
1647339,143357.0
1649338,3310.0
1649345,3310.0
1649989,22629.0
1681622,29004.0
1687221,185952.0
1691507,37895.0
1697834,38722.0
1718227,37895.0
1730168,3310.0
