Model,Variable,Coefficient,StdErr,t_stat,p_value,Stars
FE Lag 1,"Lobbying spend, t-1 ($M)",-174.5874279684228,116.93372549832999,-1.4930459730449295,0.13542515327307944,
FE Lag 1,Log(Assets),234.7055600546583,148.65884856923427,1.5788199781821253,0.11437735481341542,
FE Lag 1,Log(Revenues),47.83490183422022,43.564518647658126,1.0980243399703362,0.2721938610473744,
FE Lag 2,"Lobbying spend, t-2 ($M)",-95.34840079659972,86.7033484276053,-1.0997084025677828,0.2714591925401375,
FE Lag 2,Log(Assets),94.54517680669778,92.28411676953577,1.0245010746844836,0.30559866348603326,
FE Lag 2,Log(Revenues),37.070479081068015,39.625936332425454,0.9355104891422759,0.34952528028036134,
FE Lag 3,"Lobbying spend, t-3 ($M)",38.466050810601004,84.25893678798569,0.456521910635903,0.6480147186405151,
FE Lag 3,Log(Assets),108.66971271531001,119.73378768758784,0.9075943792812563,0.36409256503529175,
FE Lag 3,Log(Revenues),44.93712592055365,51.63183220251988,0.8703376193254769,0.384115926104608,
FE Placebo,"Lobbying spend, t+1 ($M) [placebo]",-302.7337338316601,166.4093785245919,-1.8192107711460643,0.0688792801773874,*
FE Placebo,Log(Assets),494.17240566527573,279.5229163711092,1.767913744178265,0.07707532473119501,*
FE Placebo,Log(Revenues),-84.82736809390283,63.949598027910675,-1.326472264249106,0.18468331624720835,
